2025-06-17 11:04:48 | WARNING | libraries.local_voice_verifying.voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 11:04:48 | ERROR | libraries.local_voice_verifying.voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 11:04:48 | INFO | libraries.local_voice_verifying.voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 11:05:01 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 11:05:01 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 11:05:01 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 11:05:01 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 11:05:01 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 11:05:13 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 11:05:13 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 11:05:13 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 11:05:13 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 11:05:13 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 11:07:51 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 11:07:51 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 11:07:51 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 11:07:51 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 11:07:51 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
