2025-06-17 09:39:20 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:39:20 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:39:20 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:39:20 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:39:20 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:39:20 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:39:20 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:39:20 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:39:44 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:39:44 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:39:44 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:39:44 | INFO | voice_audio_recorder | 開始錄音，預定時長: 5秒
2025-06-17 09:39:46 | INFO | voice_audio_recorder | 錄音完成，實際時長: 2.01秒
2025-06-17 09:39:46 | INFO | voice_audio_recorder | 錄音已停止
2025-06-17 09:39:46 | INFO | voice_audio_recorder | 音訊檔案已保存: /Users/owenke/source/github.com/robot-test-project/libraries/local_voice_verifying/audio_samples/recorded/recording_20250617_093946.wav
2025-06-17 09:39:46 | ERROR | voice_sound_detector | 找不到參考聲音檔案: 登登
2025-06-17 09:39:46 | WARNING | LocalVoiceVerifyingLibrary | 參考聲音 '登登' 載入失敗，嘗試建立範例檔案
2025-06-17 09:39:46 | INFO | LocalVoiceVerifyingLibrary | 已建立參考聲音指引檔案: /Users/owenke/source/github.com/robot-test-project/libraries/local_voice_verifying/audio_samples/reference_sounds/登登_sample.txt
2025-06-17 09:39:46 | ERROR | voice_sound_detector | 找不到參考聲音檔案: 登登
2025-06-17 09:39:46 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:39:46 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:39:46 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:39:46 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:40:48 | INFO | voice_sound_detector | 特徵提取器初始化成功
2025-06-17 09:40:48 | INFO | voice_sound_detector | SoundDetector 初始化完成
2025-06-17 09:40:48 | INFO | LocalVoiceVerifyingLibrary | 所有核心模組初始化完成
2025-06-17 09:40:48 | INFO | voice_tts_manager | TTS 語言設定為: en
2025-06-17 09:40:48 | INFO | voice_tts_manager | 語音速度設定為: 150.0
2025-06-17 09:40:48 | INFO | LocalVoiceVerifyingLibrary | 開始播放文字: 'Hey Power Pro'
